example_id                                                             | status  | run_time        |
./spec/models/audit_log_spec.rb[1:4:4:1]                               | passed  | 0.14335 seconds |
./spec/models/audit_log_spec.rb[1:4:4:2]                               | passed  | 0.12829 seconds |
./spec/models/audit_log_spec.rb[1:4:4:3]                               | passed  | 0.11625 seconds |
./spec/models/audit_log_spec.rb[1:4:5:1]                               | passed  | 0.12094 seconds |
./spec/models/audit_log_spec.rb[1:4:5:2]                               | passed  | 0.13161 seconds |
./spec/models/audit_log_spec.rb[1:4:6:1]                               | passed  | 0.1193 seconds  |
./spec/models/audit_log_spec.rb[1:4:6:2]                               | passed  | 0.1192 seconds  |
./spec/models/audit_log_spec.rb[1:4:7:1]                               | passed  | 0.11986 seconds |
./spec/models/audit_log_spec.rb[1:5:1:1]                               | passed  | 0.12712 seconds |
./spec/models/audit_log_spec.rb[1:5:1:2]                               | passed  | 0.12436 seconds |
./spec/models/audit_log_spec.rb[1:5:1:3]                               | passed  | 0.14951 seconds |
./spec/models/audit_log_spec.rb[1:5:1:4]                               | passed  | 0.12311 seconds |
./spec/models/audit_log_spec.rb[1:5:1:5]                               | passed  | 0.12376 seconds |
./spec/models/audit_log_spec.rb[1:6:1]                                 | passed  | 0.11678 seconds |
./spec/models/document_spec.rb[1:1:1]                                  | passed  | 0.07936 seconds |
./spec/models/document_spec.rb[1:1:2]                                  | passed  | 0.00906 seconds |
./spec/models/document_spec.rb[1:2:1]                                  | passed  | 0.10236 seconds |
./spec/models/document_spec.rb[1:2:2]                                  | passed  | 0.08882 seconds |
./spec/models/document_spec.rb[1:2:3]                                  | passed  | 0.15451 seconds |
./spec/models/document_spec.rb[1:2:4]                                  | passed  | 0.14799 seconds |
./spec/models/document_spec.rb[1:3:1:1]                                | passed  | 0.18366 seconds |
./spec/models/document_spec.rb[1:3:2:1]                                | passed  | 0.168 seconds   |
./spec/models/document_spec.rb[1:3:3:1]                                | passed  | 0.149 seconds   |
./spec/models/document_spec.rb[1:3:4:1]                                | passed  | 0.15824 seconds |
./spec/models/document_spec.rb[1:3:5:1]                                | passed  | 0.1665 seconds  |
./spec/models/document_spec.rb[1:3:6:1]                                | passed  | 0.14172 seconds |
./spec/models/document_spec.rb[1:4:1:1]                                | passed  | 0.1344 seconds  |
./spec/models/document_spec.rb[1:4:1:2]                                | passed  | 0.13931 seconds |
./spec/models/document_spec.rb[1:4:1:3]                                | passed  | 0.13886 seconds |
./spec/models/document_spec.rb[1:4:1:4]                                | passed  | 0.13952 seconds |
./spec/models/document_spec.rb[1:4:2:1]                                | passed  | 0.13784 seconds |
./spec/models/document_spec.rb[1:4:3:1]                                | passed  | 0.14296 seconds |
./spec/models/document_spec.rb[1:4:3:2]                                | passed  | 0.19836 seconds |
./spec/models/document_spec.rb[1:4:4:1]                                | passed  | 0.15039 seconds |
./spec/models/document_spec.rb[1:4:4:2]                                | passed  | 0.1377 seconds  |
./spec/models/document_spec.rb[1:4:5:1]                                | passed  | 0.14324 seconds |
./spec/models/document_spec.rb[1:4:6:1]                                | passed  | 0.14265 seconds |
./spec/models/document_spec.rb[1:4:6:2]                                | passed  | 0.13145 seconds |
./spec/models/document_spec.rb[1:4:7:1]                                | passed  | 0.1566 seconds  |
./spec/models/document_spec.rb[1:4:7:2]                                | passed  | 0.13966 seconds |
./spec/models/document_spec.rb[1:4:8:1]                                | passed  | 0.1309 seconds  |
./spec/models/document_spec.rb[1:4:8:2]                                | passed  | 0.13135 seconds |
./spec/models/document_spec.rb[1:4:9:1]                                | passed  | 0.14084 seconds |
./spec/models/document_spec.rb[1:4:9:2]                                | passed  | 0.13727 seconds |
./spec/models/document_spec.rb[1:4:9:3]                                | passed  | 0.13802 seconds |
./spec/models/document_spec.rb[1:4:10:1]                               | passed  | 0.16888 seconds |
./spec/models/document_spec.rb[1:5:1:1]                                | passed  | 0.11808 seconds |
./spec/models/document_spec.rb[1:5:1:2]                                | passed  | 0.12369 seconds |
./spec/models/document_spec.rb[1:5:2:1]                                | passed  | 0.18479 seconds |
./spec/models/document_spec.rb[1:5:2:2]                                | passed  | 0.15253 seconds |
./spec/models/document_spec.rb[1:5:2:3]                                | passed  | 0.3541 seconds  |
./spec/models/document_spec.rb[1:5:3:1]                                | passed  | 0.00757 seconds |
./spec/models/document_spec.rb[1:5:4:1]                                | passed  | 0.01141 seconds |
./spec/models/document_spec.rb[1:5:4:2]                                | passed  | 0.00815 seconds |
./spec/models/document_spec.rb[1:5:5:1]                                | passed  | 0.22775 seconds |
./spec/models/document_spec.rb[1:6:1:1]                                | passed  | 0.23719 seconds |
./spec/models/document_spec.rb[1:7:1]                                  | passed  | 0.00904 seconds |
./spec/models/document_spec.rb[1:7:2]                                  | passed  | 0.00867 seconds |
./spec/models/event_spec.rb[1:1:1]                                     | passed  | 0.08854 seconds |
./spec/models/event_spec.rb[1:2:1]                                     | passed  | 0.11489 seconds |
./spec/models/event_spec.rb[1:2:2]                                     | passed  | 0.12296 seconds |
./spec/models/event_spec.rb[1:2:3]                                     | passed  | 0.10864 seconds |
./spec/models/event_spec.rb[1:2:4:1]                                   | passed  | 0.13113 seconds |
./spec/models/event_spec.rb[1:2:4:2]                                   | passed  | 0.12049 seconds |
./spec/models/event_spec.rb[1:2:4:3]                                   | passed  | 0.10778 seconds |
./spec/models/event_spec.rb[1:3:1:1]                                   | passed  | 0.14354 seconds |
./spec/models/event_spec.rb[1:3:2:1]                                   | passed  | 0.11885 seconds |
./spec/models/event_spec.rb[1:3:3:1]                                   | passed  | 0.12162 seconds |
./spec/models/event_spec.rb[1:3:4:1]                                   | passed  | 0.11857 seconds |
./spec/models/event_spec.rb[1:3:5:1]                                   | passed  | 0.12496 seconds |
./spec/models/event_spec.rb[1:3:6:1]                                   | passed  | 0.13241 seconds |
./spec/models/event_spec.rb[1:3:7:1]                                   | passed  | 0.12364 seconds |
./spec/models/event_spec.rb[1:3:8:1]                                   | passed  | 0.12103 seconds |
./spec/models/event_spec.rb[1:4:1:1]                                   | passed  | 0.11747 seconds |
./spec/models/event_spec.rb[1:4:1:2]                                   | passed  | 0.11707 seconds |
./spec/models/event_spec.rb[1:4:1:3]                                   | passed  | 0.11234 seconds |
./spec/models/event_spec.rb[1:4:1:4]                                   | passed  | 0.14343 seconds |
./spec/models/event_spec.rb[1:4:2:1]                                   | passed  | 0.11912 seconds |
./spec/models/event_spec.rb[1:4:2:2]                                   | passed  | 0.11391 seconds |
./spec/models/event_spec.rb[1:4:3:1]                                   | passed  | 0.1278 seconds  |
./spec/models/event_spec.rb[1:4:3:2]                                   | passed  | 0.10737 seconds |
./spec/models/event_spec.rb[1:4:4:1]                                   | passed  | 0.11336 seconds |
./spec/models/event_spec.rb[1:4:4:2]                                   | passed  | 0.1142 seconds  |
./spec/models/event_spec.rb[1:4:5:1]                                   | passed  | 0.11683 seconds |
./spec/models/event_spec.rb[1:4:5:2]                                   | passed  | 0.11074 seconds |
./spec/models/event_spec.rb[1:4:6:1]                                   | passed  | 0.11893 seconds |
./spec/models/event_spec.rb[1:4:6:2]                                   | passed  | 0.11841 seconds |
./spec/models/event_spec.rb[1:4:6:3]                                   | passed  | 0.11307 seconds |
./spec/models/event_spec.rb[1:4:7:1]                                   | passed  | 0.11714 seconds |
./spec/models/event_spec.rb[1:4:7:2]                                   | passed  | 0.10708 seconds |
./spec/models/event_spec.rb[1:4:8:1]                                   | passed  | 0.13406 seconds |
./spec/models/event_spec.rb[1:4:8:2]                                   | passed  | 0.11468 seconds |
./spec/models/event_spec.rb[1:4:8:3]                                   | passed  | 0.11587 seconds |
./spec/models/event_spec.rb[1:4:9:1]                                   | passed  | 0.12341 seconds |
./spec/models/event_spec.rb[1:4:9:2]                                   | passed  | 0.11849 seconds |
./spec/models/event_spec.rb[1:4:9:3]                                   | passed  | 0.13157 seconds |
./spec/models/event_spec.rb[1:4:9:4]                                   | passed  | 0.11375 seconds |
./spec/models/event_spec.rb[1:4:9:5]                                   | passed  | 0.13695 seconds |
./spec/models/event_spec.rb[1:4:9:6]                                   | passed  | 0.12835 seconds |
./spec/models/event_spec.rb[1:5:1]                                     | passed  | 0.12125 seconds |
./spec/models/event_spec.rb[1:5:2]                                     | passed  | 0.11567 seconds |
./spec/models/magic_link_token_spec.rb[1:1:1]                          | passed  | 0.07355 seconds |
./spec/models/magic_link_token_spec.rb[1:2:1]                          | passed  | 0.08403 seconds |
